,handler_position,screener_position,handler_distance,screener_distance,handler_avg_velo,screener_avg_velo,handler_start_x,handler_start_y,screener_start_x,screener_start_y,handler_end_x,handler_end_y,screener_end_x,screener_end_y,label
0,C,G,4.9513776620493966,20.081758038495586,2.8132827625280665,11.410089794599765,36.36444,84.07771,39.36722,80.1986,35.6216,87.10057,19.57056,81.14917,none
1,G,F,9.418300498735853,29.171281124564345,4.528029085930699,14.024654386809788,39.06158,72.82169,38.93281,74.19558,33.78775,65.6586,44.91562,86.79629,PNR
2,G,F-C,21.778245611657848,13.570047659513904,11.111349801866249,6.923493703833625,28.89003,58.49738,26.60741,62.78385,18.13314,75.61998,29.06932,73.99443,PNR
3,G,F-C,15.589302782378983,9.058728491,9.279346894273202,5.392100292229732,40.29442,66.73248,37.87256,70.99143,39.83488,82.02576,36.84469,74.7756,PNR
4,G,F-C,8.580063398718424,7.017344737600736,5.500040640204118,4.498297908718419,27.77275,56.99129,27.67546,61.71869,24.03908,62.71393,26.79531,67.21894,PNR
5,G,F-C,24.377399969960358,11.617623523847378,13.248586940195848,6.313925828177923,31.4228,60.79191,28.41651,64.61241,16.33522,78.59999,26.21116,75.01585,PNR
6,G,C,17.54638738512185,15.146694512831862,9.333184779320133,8.0567524,13.08056,66.8122,12.96805,71.59706,7.8866,83.09929,20.61873,79.78032999999999,PNR
7,F,C,18.68125025052393,14.025120208810893,9.157475613001926,6.875058925887694,41.57872,67.87783999999999,37.46868,70.08718999999999,30.83051,78.7041,34.8911,82.14945,PNR
8,G,C,25.44314013973277,14.098297687781184,11.159271991110863,6.1834638981496415,4.3544,67.40486,7.37238,71.06589,14.03076,89.89355,16.01946,77.06497,PNR
9,G,F,19.809869188991662,4.515554307755388,12.381168243119788,2.822221442347118,21.91434,62.45861,22.51731,67.41039,14.39714,80.0851,24.02431,63.23159,PNP
10,G,C,17.735637998969747,13.829051398559244,9.853132222,7.682806332532916,42.69941,76.53057,38.5961,74.59832,27.89861,69.49583,32.77204,84.88422,PNR
11,F-G,C,9.359510002243095,4.675817071746658,5.571136906097078,2.7832244474682475,46.46748,87.24518,42.6911,87.21528,42.21367,79.73396,39.40726,87.5095,PNR
12,F,G,1.6707135231227737,18.818242017455944,1.3052449399396675,14.701751576137458,19.39165,71.78078,18.52664,67.11516,18.6424,71.52528,19.38708,84.008,none
13,F,C,16.16557949306964,14.584276175182323,8.785641028842193,7.926237051729527,17.90987,68.81134,16.23958,72.85955,7.49537,80.53364,24.31732,82.02061,PNR
14,G,F,25.93523706078847,6.1176753570399445,14.408465033771373,3.3987085316888566,13.65229,59.41146,15.616959999999999,63.85473,7.598320000000001,83.9459,10.415260000000004,64.97086,PNP
15,G,C,7.865832081336198,2.4361427346254425,9.832290101670248,3.045178418281803,4.83009,74.4543,7.70503,78.29133,5.00429,81.9837,6.06264,77.3872,none
16,G,C,16.00220267,10.868938348063384,8.001101333484296,5.434469174031692,6.49619,66.28462,9.83554,69.85263,3.42951,80.71716,14.00396,77.56808,none
17,G,F-G,10.053982611771854,12.829952319777524,5.464120984658615,6.972800173792132,2.17073,71.74126,5.74714,68.69908,9.55369,72.80517,6.58951,81.09727,none
18,F,C,14.27388721,13.062625504850546,6.372271077491563,5.831529243,37.25563,67.59069,32.72281,69.46212,24.66269,70.46933,33.04638,80.68031,PNR
19,G,C,22.363453222263644,15.810080465546028,12.154050664273718,8.592435036,26.27112,64.13662,23.48354,68.11161,17.66975,82.36129,25.90068,82.61548,PNR
20,G,C,10.965103745500434,9.233977498676465,6.853189840937773,5.771235937,5.58818,70.40763,10.51047,70.85802,10.04421,74.62848,12.51207,79.13853,none
21,G,C,23.082872297076886,11.648619763305943,11.541436148538441,5.824309881652972,30.08895,66.2377,26.16258,69.31121,18.53056,81.63744,26.71191,78.07374,PNR
22,G,G,11.260221682429632,4.73476905,6.255678712460907,2.6304272500307553,40.97102,71.40426,38.56865,75.53673,47.1105,78.53905,42.42235,74.08742000000001,none
23,G,C,15.377289339531352,11.924852599764588,7.845555785475179,6.084108469267647,15.98476,66.01202,16.6168,70.86704,7.83897,77.56276,20.9326,78.30474,PNR
24,F,C,19.413330249841987,13.689881699256246,6.1434589398234145,4.332241044068434,4.545079999999999,66.25724,7.064819999999997,70.02444,11.815150000000003,73.87459,10.491239999999998,79.15405,PNR
25,G,C,29.52045382404307,21.832193181129643,10.543019222872525,7.797211850403442,37.13849,59.83222,36.7562,64.60759,30.21522,86.09399,33.53992,80.85748,PNR
26,G,C,15.383189167656113,10.014746146223263,8.182547429604314,5.326992631,28.61171,69.9877,24.95859,72.38442,15.950780000000002,71.5668,22.41296,75.45218,none
27,G,F,8.830202023999487,13.824216978234997,5.384269526828954,8.429400596484752,17.16792,61.0381,16.35426,65.86455000000001,14.66992,59.86563,21.84909,78.46476,PNR
28,G,G,13.083223248400715,15.305739948549387,8.177014530250446,9.566087467843367,33.76196,56.65701,29.43198,59.15719,42.15608,60.44101,42.10245,67.38342,none
29,G,F,16.824921389144546,5.301181013,9.781931040200316,3.0820819841432514,32.15133,66.16091,32.88268,70.6625,40.31384,80.40951,33.6845,65.46481,PNP
30,G,F,9.495143401860334,5.317574924928704,5.275079667700188,2.9542082916270584,22.98728,67.62397,26.64397,68.14137,19.09683,64.59009,24.6481,63.90012,none
31,G,F,20.180497112200545,12.355784848792684,10.967661474022032,6.715100461300371,30.07701,65.57858999999999,27.41713,69.41736,15.88282,76.93367,28.22538,78.40544,PNR
32,G,C,14.695583907750546,9.495872598834579,8.543944132,5.520856162113129,37.15743,63.4468,36.82788,67.93515,43.60587,73.61312,32.45579,74.43115,none
33,G,C,17.38243649353904,12.572833884337777,8.047424302564371,5.820756427934158,20.17079,58.12913,20.80575,62.97747,12.16303,72.686,23.41487,69.8108,PNR
34,G,F,14.426906850215348,9.931269809259506,7.514013984487158,5.172536358989326,27.00438,64.97785,26.08891,69.78874,17.65352,75.73473,26.86155,74.77895,none
35,G,F,23.822332650279165,13.086479125455456,13.234629250155088,7.270266180808586,25.34649,64.07930999999999,28.4591,67.61941,32.87212,81.34814,26.23608,79.52601,PNR
36,G,F,12.390578607923562,8.017723041,7.942678594822794,5.139566052168429,20.5973,57.3517,22.71743,61.46655,32.51323,59.54257,18.86173,66.97288,none
37,G,F-C,18.313845858285926,34.43151751,10.901098725170192,20.49495089762268,29.41748,46.04133,28.7626,41.79075,23.01021,63.144980000000004,32.74268,75.5023,none
38,G-F,F-C,13.07735938462168,15.863354900769929,5.7356839406235425,6.957611798583302,27.94161,65.8061,25.33091,70.03954,17.07055,69.90317999999999,26.52098,83.89399,PNR
39,G,F,18.419477207536424,15.381682147030926,10.465612049736604,8.739592128994845,17.44866,48.88139,22.01034,50.34661,34.40734,56.03362,17.91876,65.12809,none
40,C-F,F,22.864812723353154,11.115864458982477,11.665720777220995,5.671359417848202,24.04236,80.72897,26.81084,78.13586,25.12815,57.89816,28.47833,67.43974,none
41,F,C,15.239293242763635,7.552196761874993,7.619646621,3.776098380937496,41.98801,71.3782,37.40966,71.53573,32.012339999999995,64.8444,33.99256,74.39937,none
42,G,F-C,12.078631917222221,13.744499645331924,5.920897998638345,6.737499826143099,5.8346,67.17125,9.48901,70.41252,2.46641,77.77822,16.81722,76.96471,none
43,F,F-C,5.920804051540181,10.434315272428146,3.6102463728903533,6.362387361236675,44.79288,79.53188,40.16039,77.95931,43.04945,74.81653,30.9672,81.18066999999999,none
44,G-F,C,17.631519211008808,17.352374164767085,8.995673067,8.853252124881164,26.37148,59.48271,25.80645,64.31185,12.33925,69.90202,24.09231,79.07049,PNR
45,G,C,11.866518435160321,12.997233354286715,7.235681972658733,7.925142289199216,9.9711,67.46945,12.34205,71.60202,21.53041,69.89371,18.60822,82.66554,PNR
46,G,C,22.04682084504763,7.301816850849524,11.482719190128975,3.8030296098174605,5.69241,59.55349,9.27142,62.63969,7.95181,80.75406,4.92188,63.9957,PNP
47,G,F-C,20.42287795549261,11.468191968517074,11.099390193202503,6.232713026367974,21.1292,58.17511,20.82303,62.74887,20.3117,75.53166,24.43768,69.64099,PNR
48,G-F,F,2.250196712802785,9.756970137,1.4063729455017406,6.098106335545938,41.79216,79.1304,37.57642,76.66991,42.33548,78.98872,30.98261,70.52332,none
49,G,C,14.172792876832311,1.9405347854823063,12.654279354314562,1.7326203441806307,43.86412,75.55389,39.14857,76.69611,30.46185,73.15225,38.0102,77.623,none
50,G,F-C,25.174148784173077,5.449233107932085,13.111535825090144,2.838142243714627,7.4985,61.39209,8.4766,66.2816,17.67666,77.1344,8.48886,68.14662,PNR
51,G-F,G,17.631864434468742,9.448876374138969,10.49515740146949,5.6243311750827205,47.67216,82.22628,44.44889,78.91185,36.36106,70.33543,48.18558,87.41589,none
52,G,F-C,8.562605705190302,8.445170363039969,4.653590057168644,4.589766501652157,8.05151,66.41265,12.02019,69.11807999999999,13.77683,64.62048,17.66489,72.57129,none
53,G,F,16.511974302031287,8.695825827123846,8.255987151,4.347912913561923,6.458739999999999,72.92261,10.616390000000003,75.3768,8.457859999999997,88.92953,14.751510000000003,80.35262,PNR
54,G-F,F-C,15.532259962300273,12.50775008435124,6.365680312418143,5.126127084,9.31625,71.90852,14.12852,72.41521,23.2744,69.40483,16.01367,79.66961,PNR
55,G,F-C,12.652300883638711,13.086832995331068,5.6483486087672805,5.842336158629941,21.64489,64.25767,23.36369,68.5088,30.49745,65.56738,20.13536,80.30474,PNR
56,G-F,F,3.927439429493469,21.80797495479255,2.5175893778804284,13.979471124867024,36.19698,73.08454,40.71265,70.99135,36.6154,72.86393,20.17465,64.02489,none
