,game_id,event_number,start_time,event_desc,handler_name,screener_name
0,0021500333,6,654.4,Mahinmi STEAL (1 STL) / Whiteside Lost Ball Turnover (P1.T1),Hassan Whiteside,Dwyane Wade
1,0021500333,24,548.66,nan / MISS Wade 2' Driving Layup,Dwyane Wade,Chris Bosh
2,0021500333,58,345.76,nan / Wade 15' Fadeaway Jumper (6 PTS),Dwyane Wade,Amar'e Stoudemire
3,0021500333,60,286.0,nan / MISS Deng 24' 3PT Jump Shot,Dwyane Wade,Amar'e Stoudemire
4,0021500333,72,259.26,nan / MISS Wade 2' Driving Layup,Dwyane Wade,Amar'e Stoudemire
5,0021500333,93,160.6,nan / Green 3' Running Layup (2 PTS) (Dragic 3 AST),Goran Dragic,Amar'e Stoudemire
6,0021500333,98,133.56,nan / Green S.FOUL (P1.T4) (S.Corbin),Rodney Stuckey,Jordan Hill
7,0021500333,107,105.66,MISS Stuckey 15' Jump Shot / nan,Paul George,Jordan Hill
8,0021500333,119,40.94,Ellis 1' Cutting Layup Shot (4 PTS) (Stuckey 1 AST) / nan,Rodney Stuckey,Jordan Hill
9,0021500333,120,21.41,nan / MISS Bosh 25' 3PT Jump Shot,Goran Dragic,Chris Bosh
10,0021500333,134,668.2,nan / Green P.FOUL (P2.T2) (S.Corbin),Rodney Stuckey,Jordan Hill
11,0021500333,146,592.95,MISS G. Hill 26' 3PT Jump Shot / nan,CJ Miles,Jordan Hill
12,0021500333,148,553.74,Budinger STEAL (1 STL) / Richardson Bad Pass Turnover (P1.T7),Chris Bosh,Goran Dragic
13,0021500333,157,505.89,Mahinmi 1' Cutting Dunk Shot (10 PTS) (Budinger 2 AST) / nan,Chase Budinger,Ian Mahinmi
14,0021500333,158,489.56,nan / MISS Green 25' 3PT Jump Shot,Goran Dragic,Chris Bosh
15,0021500333,160,443.29,MISS G. Hill  3PT Jump Shot / nan,George Hill,Ian Mahinmi
16,0021500333,163,419.58,MISS Miles 3' Driving Finger Roll Layup / nan,Rodney Stuckey,Ian Mahinmi
17,0021500333,178,338.75,MISS Mahinmi 1' Alley Oop Layup / nan,Rodney Stuckey,CJ Miles
18,0021500333,204,213.49,George Bad Pass Turnover (P3.T6) / Deng STEAL (1 STL),Paul George,Ian Mahinmi
19,0021500333,275,627.8,nan / Whiteside  Alley Oop Dunk (4 PTS) (Wade 2 AST),Dwyane Wade,Hassan Whiteside
20,0021500333,299,464.93,George STEAL (1 STL) / Dragic Lost Ball Turnover (P4.T13),Dwyane Wade,Hassan Whiteside
21,0021500333,305,430.21,nan / MISS Wade 3' Layup,Dwyane Wade,Hassan Whiteside
22,0021500333,324,343.45,Ellis P.FOUL (P2.T4) (S.Corbin) / nan,Goran Dragic,Dwyane Wade
23,0021500333,326,324.55,nan / MISS Wade 15' Jump Shot,Dwyane Wade,Hassan Whiteside
24,0021500333,333,255.6,MISS Miles 25' 3PT Jump Shot / nan,Paul George,Ian Mahinmi
25,0021500333,337,209.2,Ellis STEAL (5 STL) / Winslow Lost Ball Turnover (P3.T14),Dwyane Wade,Hassan Whiteside
26,0021500333,359,107.27,Mahinmi 3' Turnaround Hook Shot (14 PTS) / nan,Rodney Stuckey,Ian Mahinmi
27,0021500333,362,91.97,nan / Green 26' 3PT Jump Shot (10 PTS) (Deng 1 AST),Goran Dragic,Luol Deng
28,0021500333,367,20.34,nan / MISS Winslow 25' 3PT Jump Shot,Goran Dragic,Gerald Green
29,0021500333,382,649.81,nan / MISS Green 16' Pullup Jump Shot,Gerald Green,Chris Bosh
30,0021500333,402,548.42,G. Hill STEAL (1 STL) / Udrih Lost Ball Turnover (P2.T17),Beno Udrih,Chris Bosh
31,0021500333,404,523.54,Hill S.FOUL (P2.T2) (S.Corbin) / nan,Dwyane Wade,Chris Bosh
32,0021500333,424,453.16,MISS Miles 32' 3PT Jump Shot / nan,Rodney Stuckey,Ian Mahinmi
33,0021500333,433,400.8,Mahinmi 3' Cutting Dunk Shot (16 PTS) (Ellis 6 AST) / nan,Monta Ellis,Ian Mahinmi
34,0021500333,436,348.52,nan / Bosh 16' Jump Shot (23 PTS) (Wade 5 AST),Dwyane Wade,Chris Bosh
35,0021500333,454,216.22,Ellis P.FOUL (P4.T4) (M.Davis) / nan,Goran Dragic,Chris Bosh
36,0021500292,2,683.09,MISS Rose 3' Layup / Walker BLOCK (1 BLK),Derrick Rose,Nikola Mirotic
37,0021500292,4,666.29,nan / Williams 23' Jump Shot (2 PTS) (Walker 1 AST),Kemba Walker,Cody Zeller
38,0021500292,6,626.18,nan / MISS Williams 24' 3PT Jump Shot,Nicolas Batum,Cody Zeller
39,0021500292,11,591.06,nan / Zeller 14' Jump Shot (2 PTS) (Williams 1 AST),Kemba Walker,Marvin Williams
40,0021500292,40,435.09,MISS Butler 13' Pullup Jump Shot / nan,Pau Gasol,Nikola Mirotic
41,0021500292,59,300.9,MISS Rose 20' Jump Shot / nan,Doug McDermott,Joakim Noah
42,0021500292,63,257.84,nan / Walker 3' Running Layup (7 PTS) (Batum 3 AST),Kemba Walker,Cody Zeller
43,0021500292,65,246.03,nan / MISS Williams 2' Running Layup,Marvin Williams,Cody Zeller
44,0021500292,84,188.62,nan / Kaminsky P.FOUL (P1.T2) (S.Wall),Jimmy Butler,Joakim Noah
45,0021500292,85,166.2,MISS Noah 2' Driving Layup / nan,Kirk Hinrich,Joakim Noah
46,0021500292,87,151.98,nan / MISS Kaminsky 2' Layup,Kemba Walker,Frank Kaminsky
47,0021500292,94,112.77,Butler P.FOUL (P1.T2) (S.Wall) / nan,Kemba Walker,Spencer Hawes
48,0021500292,108,42.66,Gibson 15' Jump Shot (2 PTS) (Hinrich 1 AST) / nan,Jimmy Butler,Taj Gibson
49,0021500292,124,651.15,MISS Hinrich 25' 3PT Jump Shot / nan,Kirk Hinrich,Joakim Noah
50,0021500292,168,409.77,Rose Offensive Charge Foul (P1.T2) (S.Wall) / nan,Jeremy Lamb,Spencer Hawes
51,0021500292,176,360.56,MISS Gibson 2' Driving Layup / nan,Jimmy Butler,Derrick Rose
52,0021500292,202,234.18,nan / Zeller  Cutting Dunk Shot (5 PTS) (Batum 4 AST),Kemba Walker,Cody Zeller
53,0021500292,204,220.23,Gasol 20' Jump Shot (4 PTS) (McDermott 1 AST) / nan,Derrick Rose,Taj Gibson
54,0021500292,226,81.24,Butler STEAL (1 STL) / Walker Bad Pass Turnover (P1.T3),Nicolas Batum,Cody Zeller
55,0021500292,248,693.12,nan / MISS Williams 22' Jump Shot,Kemba Walker,Cody Zeller
56,0021500292,253,637.6,MISS Gasol 11' Hook Shot / nan,Jimmy Butler,Tony Snell
57,0021500292,257,612.76,nan / MISS Hairston 26' 3PT Jump Shot,Kemba Walker,Cody Zeller
58,0021500292,299,406.96,nan / MISS Williams 7' Turnaround Jump Shot,Kemba Walker,Cody Zeller
59,0021500292,313,352.68,nan / MISS Batum 22' Jump Shot,Kemba Walker,Cody Zeller
60,0021500292,315,338.32,MISS Rose 25' 3PT Jump Shot / nan,Jimmy Butler,Pau Gasol
61,0021500292,317,340.68,nan / Zeller 21' Jump Shot (15 PTS) (Walker 4 AST),Kemba Walker,Cody Zeller
62,0021500292,318,335.31,Butler 2' Reverse Layup (13 PTS) (Gasol 4 AST) / nan,Derrick Rose,Nikola Mirotic
63,0021500292,336,202.22,MISS Mirotic  Dunk / nan,Derrick Rose,Joakim Noah
64,0021500292,338,183.14,nan / MISS Hawes 25' 3PT Jump Shot,Nicolas Batum,Spencer Hawes
65,0021500292,374,48.24,Hinrich STEAL (1 STL) / Hawes Bad Pass Turnover (P2.T9),Kemba Walker,Spencer Hawes
66,0021500292,378,27.0,Hinrich 22' Jump Shot (4 PTS) (Gibson 2 AST) / nan,Doug McDermott,Joakim Noah
67,0021500292,395,681.07,Gibson Traveling Turnover (P1.T12) / nan,Doug McDermott,Joakim Noah
68,0021500292,432,456.21,MISS Moore 2' Driving Layup / nan,Derrick Rose,Joakim Noah
69,0021500292,436,450.92,nan / Lin P.FOUL (P3.T1) (M.Smith),Jimmy Butler,Joakim Noah
70,0021500292,439,418.4,MISS Rose 25' 3PT Jump Shot / nan,Jimmy Butler,Joakim Noah
71,0021500292,455,301.95,nan / MISS Lin 25' 3PT Jump Shot,Nicolas Batum,Spencer Hawes
72,0021500292,477,237.59,MISS Rose 2' Driving Layup / nan,Derrick Rose,Nikola Mirotic
73,0021500292,501,100.72,McDermott 25' 3PT Jump Shot (13 PTS) (Mirotic 1 AST) / nan,Derrick Rose,Pau Gasol
74,0021500292,503,91.07,nan / MISS Batum 24' 3PT Jump Shot,Nicolas Batum,Cody Zeller
75,0021500292,527,28.51,Butler Bad Pass Turnover (P3.T14) / Williams STEAL (2 STL),Jimmy Butler,Pau Gasol
76,0021500230,4,697.9,MISS Lopez 2' Layup / nan,Carmelo Anthony,Robin Lopez
77,0021500230,7,669.92,Calderon 17' Jump Shot (2 PTS) / nan,Jose Calderon,Robin Lopez
78,0021500230,8,656.06,nan / MISS Bosh 16' Jump Shot,Dwyane Wade,Hassan Whiteside
79,0021500230,18,604.97,nan / MISS Wade 6' Jump Shot,Dwyane Wade,Goran Dragic
80,0021500230,34,532.09,Anthony 16' Jump Shot (4 PTS) (O'Quinn 1 AST) / nan,Carmelo Anthony,Kyle O'Quinn
81,0021500230,36,500.8,Porzingis 12' Step Back Jump Shot (2 PTS) / nan,Kyle O'Quinn,Arron Afflalo
82,0021500230,37,478.27,nan / MISS Bosh 17' Jump Shot,Dwyane Wade,Chris Bosh
83,0021500230,39,462.76,MISS O'Quinn 16' Jump Shot / nan,Arron Afflalo,Kristaps Porzingis
84,0021500230,50,398.16,MISS Porzingis 15' Jump Shot / nan,Jose Calderon,Kyle O'Quinn
85,0021500230,74,324.59,nan / MISS Wade 5' Jump Shot,Dwyane Wade,Josh McRoberts
86,0021500230,82,295.04,Afflalo BLOCK (1 BLK) / MISS Wade 16' Jump Shot,Dwyane Wade,Hassan Whiteside
87,0021500230,89,254.75,nan / Whiteside S.FOUL (P1.T3) (T.Maddox),Jose Calderon,Kyle O'Quinn
88,0021500230,98,246.62,Calderon S.FOUL (P1.T4) (D.Stafford) / nan,Goran Dragic,Josh McRoberts
89,0021500230,108,226.6,MISS Thomas 25' 3PT Jump Shot / nan,Langston Galloway,Kyle O'Quinn
90,0021500230,118,202.99,nan / Johnson 3' Running Jump Shot (2 PTS) (Dragic 2 AST),Goran Dragic,Hassan Whiteside
91,0021500230,122,134.62,O'Quinn S.FOUL (P2.PN) (B.Barnaky) / nan,Goran Dragic,Josh McRoberts
92,0021500230,143,40.11,nan / MISS Johnson 8' Jump Bank Shot,Tyler Johnson,Chris Bosh
93,0021500230,154,4.26,MISS Galloway 18' Jump Shot / nan,Jerian Grant,Kevin Seraphin
94,0021500230,172,665.12,MISS Williams 25' 3PT Jump Shot / nan,Derrick Williams,Kevin Seraphin
95,0021500230,174,637.48,nan / MISS Haslem 12' Jump Shot,Udonis Haslem,Beno Udrih
96,0021500230,179,605.75,nan / Udrih P.FOUL (P1.T1) (T.Maddox),Jerian Grant,Kevin Seraphin
97,0021500230,180,602.58,nan / Haslem S.FOUL (P1.T2) (D.Stafford),Jerian Grant,Kevin Seraphin
98,0021500230,188,571.01,Grant 1' Driving Layup (4 PTS) / nan,Jerian Grant,Kevin Seraphin
99,0021500230,189,556.2,Porzingis S.FOUL (P1.T1) (D.Stafford) / nan,Beno Udrih,Udonis Haslem
100,0021500230,197,525.78,nan / Bosh 24' 3PT Jump Shot (8 PTS) (Wade 1 AST),Dwyane Wade,Udonis Haslem
101,0021500230,199,496.68,nan / Bosh 18' Jump Shot (10 PTS) (Johnson 1 AST),Tyler Johnson,Udonis Haslem
102,0021500230,215,446.25,nan / MISS Wade 5' Jump Shot,Tyler Johnson,Hassan Whiteside
103,0021500230,218,418.22,nan / MISS Winslow 3' Layup,Justise Winslow,Chris Bosh
104,0021500230,251,236.67,Porzingis STEAL (2 STL) / Wade Bad Pass Turnover (P1.T8),Hassan Whiteside,Justise Winslow
105,0021500230,252,229.97,MISS Afflalo 24' Jump Shot / nan,Carmelo Anthony,Kristaps Porzingis
106,0021500230,282,124.1,Seraphin 18' Jump Shot (6 PTS) (Galloway 2 AST) / nan,Langston Galloway,Kevin Seraphin
107,0021500230,288,63.92,nan / Wade 3' Floating Jump Shot (9 PTS),Dwyane Wade,Hassan Whiteside
108,0021500230,289,49.29,MISS Seraphin 4' Hook Shot / nan,Kevin Seraphin,Jose Calderon
109,0021500230,291,34.32,nan / MISS Whiteside 15' Jump Shot,Hassan Whiteside,Dwyane Wade
110,0021500230,303,711.09,MISS Anthony 14' Turnaround Jump Shot / nan,Carmelo Anthony,Jose Calderon
111,0021500230,311,656.81,nan / Green 2' Driving Layup (7 PTS),Gerald Green,Chris Bosh
112,0021500230,314,625.14,nan / MISS Wade 12' Turnaround Jump Shot,Hassan Whiteside,Dwyane Wade
113,0021500230,318,582.4,nan / MISS Bosh 25' 3PT Jump Shot,Dwyane Wade,Chris Bosh
114,0021500230,337,493.09,Porzingis Foul Turnover (P1.T6) / nan,Jose Calderon,Kristaps Porzingis
115,0021500230,346,445.63,MISS Thomas 5' Hook Shot / nan,Carmelo Anthony,Jose Calderon
116,0021500230,356,363.58,MISS Anthony  3PT Jump Shot / nan,Carmelo Anthony,Kevin Seraphin
117,0021500230,358,354.92,Anthony S.FOUL (P2.T2) (D.Stafford) / nan,Goran Dragic,Hassan Whiteside
118,0021500230,377,282.19,MISS Calderon 19' Jump Shot / nan,Jose Calderon,Kevin Seraphin
119,0021500230,379,271.09,nan / MISS Wade 7' Floating Jump Shot,Hassan Whiteside,Josh McRoberts
120,0021500230,391,225.64,nan / MISS Dragic 6' Jump Shot,Goran Dragic,Josh McRoberts
121,0021500230,393,217.02,Thomas 13' Jump Shot (4 PTS) (Grant 3 AST) / nan,Jerian Grant,Kevin Seraphin
122,0021500230,395,184.88,MISS Anthony 18' Jump Shot / nan,Carmelo Anthony,Kevin Seraphin
123,0021500230,398,184.52,Seraphin 3' Hook Shot (10 PTS) / nan,Carmelo Anthony,Kevin Seraphin
